IP_Address	MAC_Address	Non-Std_Ports	Potential_DDoS	L_Pkt_Size	Unsolicitated_ARP_Replies	Unusually_L_DNS	Excessive_ICMP_Echo_Req	Excessive_TCP_SYN	Excessive_Port_Scanning	MDP(%)
172.17.153.140	2c:3e:cf:fb:d9:34	0	0	0	0	0	0	0	0	0.0
172.17.158.37	2c:3e:cf:fb:d2:a2	0	1	0	0	0	0	0	0	12.5
172.17.153.154	2c:3e:cf:fb:cd:e0	0	0	0	0	0	0	0	0	0.0
0.0.0.0	78:45:c4:3e:20:42	0	0	0	0	0	0	0	0	0.0
172.17.153.23	2c:3e:cf:fb:ec:cd	0	0	0	0	0	0	0	0	0.0
172.17.157.16	2c:3e:cf:fb:e0:cb	0	1	0	0	0	0	0	0	12.5
172.17.158.76	2c:3e:cf:fb:f0:e1	0	0	0	0	0	0	0	0	0.0
172.17.157.92	2c:3e:cf:fb:e6:e9	0	1	0	0	0	0	0	0	12.5
172.17.158.75	2c:3e:cf:fb:ea:fd	0	0	0	0	0	0	0	0	0.0
172.17.158.133	2c:3e:cf:fb:e8:62	0	1	0	0	0	0	0	0	12.5
172.17.158.96	2c:3e:cf:fb:df:e3	0	1	0	0	0	0	0	0	12.5
172.17.153.150	2c:3e:cf:fb:df:8c	0	1	0	0	0	0	0	0	12.5
172.17.155.90	48:4d:7e:e5:b1:d5	0	0	0	0	0	0	0	0	0.0
172.17.153.70	e4:54:e8:9d:0a:e0	0	0	0	0	0	0	0	0	0.0
172.17.152.37	2c:3e:cf:fb:df:a9	0	0	0	0	0	0	0	0	0.0
172.17.155.229	8c:ec:4b:cc:bd:4b	0	0	0	0	0	0	0	0	0.0
172.17.156.253	2c:3e:cf:fb:ef:11	0	1	0	0	0	0	0	0	12.5
172.17.158.39	2c:3e:cf:fb:d2:85	0	0	0	0	0	0	0	0	0.0
172.17.155.92	48:4d:7e:e5:b1:f3	0	0	0	0	0	0	0	0	0.0
172.17.152.53	8c:ec:4b:4a:15:d6	0	0	0	0	0	0	0	0	0.0
172.17.152.7	8c:85:c1:b5:26:d8	0	0	0	0	0	0	0	0	0.0
172.17.154.14	8c:ec:4b:ce:aa:6c	0	0	0	0	0	0	0	0	0.0
172.17.153.236	8c:ec:4b:ce:e8:af	0	0	0	0	0	0	0	0	0.0
172.17.155.81	00:e0:4c:0c:1f:17	0	0	0	0	0	0	0	0	0.0
172.17.155.150	8c:ec:4b:ce:5d:d0	0	0	0	0	0	0	0	0	0.0
172.17.156.243	8c:ec:4b:ce:ac:55	0	0	0	0	0	0	0	0	0.0
172.17.153.135	8c:ec:4b:ce:e0:cf	0	0	0	0	0	0	0	0	0.0
172.17.154.89	8c:ec:4b:55:d8:d4	0	0	0	0	0	0	0	0	0.0
